;klasyfikator_0;klasyfikator_1;Wynik statystyczne lepszy
246;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
247;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
248;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
249;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
250;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
251;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
252;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
253;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
254;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
255;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
256;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
257;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
258;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
259;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
260;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
261;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
262;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
263;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
264;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
265;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
266;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
267;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
268;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
269;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
270;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
271;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
272;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
273;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
274;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
275;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
